Time,head_x,head_y,head_z,neck_x,neck_y,neck_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_upper_arm_x,left_upper_arm_y,left_upper_arm_z,right_upper_arm_x,right_upper_arm_y,right_upper_arm_z,left_forearm_x,left_forearm_y,left_forearm_z,right_forearm_x,right_forearm_y,right_forearm_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,t8_x,t8_y,t8_z,t12_x,t12_y,t12_z,l3_x,l3_y,l3_z,l5_x,l5_y,l5_z,pelvis_x,pelvis_y,pelvis_z,left_upper_leg_x,left_upper_leg_y,left_upper_leg_z,right_upper_leg_x,right_upper_leg_y,right_upper_leg_z,left_lower_leg_x,left_lower_leg_y,left_lower_leg_z,right_lower_leg_x,right_lower_leg_y,right_lower_leg_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z,left_toe_x,left_toe_y,left_toe_z,right_toe_x,right_toe_y,right_toe_z
0,199,1242,0,215,1099,0,205,1047,0,235,1048,0,132,1026,0,313,1037,0,131,760,0,406,785,0,97,641,0,485,651,0,227,986,0,234,911,0,241,843,0,248,774,0,291,689,0,206,686,0,310,693,0,252,433,0,343,426,0,288,256,0,354,276,0,272,218,0,370,231,0
0,199,1239,0,215,1097,0,205,1045,0,235,1046,0,132,1024,0,313,1035,0,131,759,0,405,785,0,98,640,0,484,651,0,226,985,0,234,910,0,240,842,0,248,773,0,291,689,0,206,686,0,309,692,0,252,434,0,341,425,0,288,258,0,353,264,0,273,221,0,369,219,0
0,199,1235,0,215,1094,0,205,1042,0,235,1044,0,132,1022,0,312,1032,0,131,758,0,405,784,0,97,640,0,485,652,0,226,982,0,233,908,0,240,840,0,247,772,0,291,688,0,206,686,0,308,692,0,252,435,0,339,425,0,289,260,0,351,254,0,274,223,0,367,209,0
0,199,1231,0,214,1091,0,205,1039,0,234,1041,0,132,1019,0,311,1030,0,131,757,0,405,784,0,97,640,0,485,652,0,225,980,0,233,906,0,239,839,0,247,771,0,292,688,0,205,685,0,307,691,0,253,436,0,337,425,0,289,262,0,349,244,0,274,226,0,364,199,0
0,199,1227,0,214,1088,0,205,1037,0,234,1038,0,133,1017,0,311,1027,0,131,755,0,405,784,0,97,639,0,484,653,0,225,978,0,233,905,0,239,837,0,247,770,0,292,687,0,205,685,0,307,690,0,253,437,0,335,425,0,289,265,0,347,234,0,275,229,0,361,190,0
0,200,1224,0,215,1086,0,205,1035,0,234,1036,0,133,1015,0,310,1025,0,131,755,0,404,783,0,96,639,0,484,653,0,226,976,0,233,903,0,239,836,0,247,769,0,292,687,0,206,684,0,306,690,0,253,438,0,333,425,0,289,267,0,345,227,0,275,231,0,359,184,0
0,202,1219,0,217,1083,0,207,1032,0,236,1034,0,136,1012,0,311,1023,0,132,754,0,404,782,0,96,640,0,483,652,0,227,974,0,234,902,0,241,835,0,248,769,0,292,686,0,207,684,0,307,689,0,254,439,0,332,426,0,290,269,0,343,220,0,276,234,0,357,177,0
0,203,1213,0,217,1078,0,208,1028,0,237,1030,0,137,1009,0,311,1019,0,133,752,0,404,781,0,96,639,0,483,652,0,228,971,0,235,899,0,241,833,0,248,767,0,292,686,0,207,683,0,307,688,0,254,439,0,330,426,0,290,270,0,341,214,0,276,235,0,354,171,0
0,204,1210,0,219,1076,0,209,1026,0,238,1028,0,139,1007,0,312,1017,0,133,751,0,405,780,0,95,640,0,484,652,0,229,969,0,236,897,0,242,832,0,249,766,0,292,685,0,208,683,0,308,688,0,255,440,0,329,426,0,290,272,0,339,209,0,277,238,0,352,168,0
0,205,1208,0,220,1075,0,210,1025,0,239,1027,0,140,1005,0,313,1016,0,133,751,0,406,780,0,95,640,0,484,652,0,230,968,0,237,897,0,243,831,0,250,766,0,292,685,0,209,683,0,308,687,0,256,442,0,328,427,0,291,275,0,336,207,0,277,241,0,349,166,0
0,207,1205,0,221,1072,0,212,1023,0,241,1025,0,142,1003,0,314,1014,0,133,751,0,406,779,0,95,640,0,484,652,0,232,966,0,238,895,0,245,830,0,251,765,0,292,685,0,210,683,0,309,687,0,257,443,0,327,427,0,291,277,0,334,204,0,278,243,0,347,164,0
0,209,1202,0,223,1071,0,213,1022,0,242,1023,0,144,1002,0,316,1013,0,133,751,0,406,778,0,95,640,0,484,651,0,233,965,0,240,894,0,246,830,0,252,764,0,292,684,0,211,682,0,310,686,0,258,444,0,326,427,0,292,279,0,333,203,0,279,246,0,345,164,0
0,211,1198,0,224,1068,0,215,1019,0,243,1020,0,146,1000,0,317,1010,0,133,750,0,406,777,0,94,640,0,485,651,0,234,963,0,241,893,0,247,828,0,253,763,0,292,683,0,212,682,0,310,685,0,259,444,0,326,427,0,292,281,0,331,202,0,279,248,0,344,163,0
0,212,1195,0,225,1065,0,216,1017,0,244,1018,0,147,998,0,317,1008,0,133,750,0,407,776,0,94,641,0,485,651,0,235,961,0,242,891,0,248,827,0,254,762,0,293,683,0,213,681,0,311,685,0,259,445,0,325,427,0,292,283,0,329,201,0,279,250,0,342,162,0
0,213,1195,0,226,1065,0,216,1017,0,244,1018,0,147,998,0,318,1007,0,133,750,0,407,776,0,93,641,0,485,651,0,236,961,0,242,891,0,248,827,0,254,762,0,293,683,0,213,681,0,311,684,0,259,446,0,324,428,0,292,285,0,328,202,0,279,253,0,341,164,0
0,214,1193,0,227,1064,0,217,1016,0,245,1017,0,148,997,0,318,1006,0,133,750,0,407,775,0,93,641,0,484,651,0,236,960,0,242,890,0,248,826,0,254,762,0,293,682,0,213,681,0,311,684,0,259,447,0,323,428,0,292,288,0,327,204,0,279,256,0,339,167,0
